price,maintenance,trunk,safety,RATING
luxury,high_cost,small,poor,LOW
medium,med_cost,small,ave,LOW
luxury,low_cost,big,good,HIGH
high,very_high_cost,small,poor,LOW
medium,med_cost,small,poor,LOW
high,med_cost,big,good,HIGH
high,low_cost,med,good,HIGH
high,high_cost,big,good,LOW
high,high_cost,med,ave,HIGH
low,low_cost,big,poor,HIGH
medium,med_cost,med,good,HIGH
luxury,high_cost,small,ave,LOW
luxury,med_cost,med,good,HIGH
low,low_cost,big,good,HIGH
low,med_cost,med,ave,HIGH
medium,med_cost,med,ave,LOW
high,med_cost,med,ave,HIGH
low,high_cost,big,good,HIGH
medium,med_cost,med,good,LOW
low,low_cost,med,ave,HIGH
medium,very_high_cost,small,poor,LOW
luxury,high_cost,big,ave,LOW
high,very_high_cost,med,poor,LOW
luxury,med_cost,small,ave,LOW
low,high_cost,med,good,HIGH
